MCCMNC,Name
20801,Orange France
20802,Orange France (zones blanches)
20804,Netcom Group (Nexera)
20805,Globalstar Europe (satellite)
20808,SFR (formerly Completel)
20809,Neuf Cegetel / SFR
20810,SFR
20811,SFR (femtocells)
20812,TP France operations (Truphone)
20813,SFR (zones blanches)
20814,RFF GSM-R (private network)
20815,Free Mobile
20816,Free Mobile
20820,Bouygues Telecom
20821,Bouygues Telecom (experimental)
20828,Astrium SAS (satellite)
20835,Free Mobile
20836,Free Mobile
20888,Bouygues Telecom (zones blanches)
